id,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,host_id
13570287,Apartment in Historical Center 2,ΚΕΡΑΜΕΙΚΟΣ,37.98151,23.71767,Entire rental unit,Entire home/apt,2,1.0,1.0,29.0,1,1125,4.81,4.89,4.78,4.95,4.93,4.66,4.85,True,30698783
13579623,studio gianni,ΚΥΨΕΛΗ,38.00213,23.73798,Entire rental unit,Entire home/apt,1,1.0,1.0,40.0,1,1125,0.0,,,,,,,False,78370945
13582987,"Zeus Temple view 2BD Apartment, Acropolis - Plaka",ΖΑΠΠΕΙΟ,37.96766,23.7329,Entire rental unit,Entire home/apt,5,2.0,3.0,68.0,1,1125,4.85,4.93,4.98,4.89,4.95,4.92,4.85,True,20104194
13587181,Appartment in centre of Athens near park.,ΚΥΨΕΛΗ,38.001,23.7436,Entire rental unit,Entire home/apt,3,1.0,1.0,50.0,3,9,,,,,,,,False,78461713
13589098,a stylish 75m2 apartment downtown,ΑΜΠΕΛΟΚΗΠΟΙ,37.99264,23.76502,Entire rental unit,Entire home/apt,3,1.0,2.0,40.0,5,30,4.89,4.92,4.98,4.97,4.95,4.84,4.84,False,78486992
13592307,Athens Modern Penthouse,ΠΕΔΙΟ ΑΡΕΩΣ,37.99614,23.73784,Entire rental unit,Entire home/apt,2,1.0,1.0,60.0,2,29,4.89,4.92,4.94,4.99,4.97,4.54,4.84,False,12851473
13594084,Central Bright  Studio Flat near KALLIMARMARON,ΠΑΓΚΡΑΤΙ,37.9708,23.74671,Private room in rental unit,Private room,2,1.0,1.0,30.0,15,1125,4.73,4.88,4.65,4.95,4.95,4.95,4.85,True,72842425
13595845,Cosy Apartment Downtown,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98342,23.72385,Entire rental unit,Entire home/apt,2,1.0,1.0,64.0,2,30,4.63,4.89,4.95,5.0,5.0,3.95,4.79,True,73043313
13603658,"Feel at home, in Athens.",ΖΑΠΠΕΙΟ,37.96868,23.73769,Entire rental unit,Entire home/apt,3,1.0,1.0,49.0,5,1125,4.97,4.99,4.99,5.0,5.0,4.9,4.98,False,70373209
13613211,maro,ΣΤΑΔΙΟ,37.96603,23.74075,Entire rental unit,Entire home/apt,7,3.0,4.0,70.0,2,30,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,78797891
13614439,Live Downtown in Athens,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9849,23.72495,Entire rental unit,Entire home/apt,3,1.0,1.0,50.0,2,1125,4.91,4.94,5.0,4.94,4.97,4.28,4.94,False,76078650
13618646,ILLISIA roof apartment,ΙΛΙΣΙΑ,37.9762,23.75713,Entire rental unit,Entire home/apt,6,2.0,3.0,54.0,2,1125,4.35,4.65,4.41,4.42,4.24,4.81,4.54,True,107328172
13621619,Modern studio in the heart of Athens,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98509,23.72692,Entire rental unit,Entire home/apt,2,1.0,1.0,29.0,2,1125,4.83,4.9,4.94,4.97,4.95,4.29,4.85,True,77926998
13621887,Well connected appartments in the centre of Athens,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98537,23.72832,Entire rental unit,Entire home/apt,5,2.0,3.0,49.0,2,1125,4.71,4.84,4.84,4.94,4.94,4.18,4.7,True,77926998
13628361,Modern apartment in the centre of Athens,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98525,23.72891,Entire rental unit,Entire home/apt,3,1.0,2.0,32.0,2,1125,4.73,4.8,4.89,4.96,4.95,4.2,4.81,True,77926998
13631014,Amazing 2 storey apartment for 7 people in Thessio,ΑΚΡΟΠΟΛΗ,37.97276,23.71925,Entire rental unit,Entire home/apt,7,4.0,5.0,129.0,3,1124,4.76,4.76,4.69,4.78,4.78,4.98,4.75,True,1621474
13632650,New apartment near center,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,37.99135,23.70978,Private room in rental unit,Private room,2,1.0,1.0,21.0,2,1125,,,,,,,,False,79041006
13635025,Fully Renovated 1 bedroom Apt next to Acropolis,ΘΗΣΕΙΟ,37.9757,23.7175,Entire rental unit,Entire home/apt,4,1.0,2.0,54.0,2,1125,4.74,4.84,4.95,4.89,4.79,5.0,4.95,True,748818
13638778,Lovely apartment in Athens,ΠΑΓΚΡΑΤΙ,37.96934,23.74694,Entire rental unit,Entire home/apt,4,1.0,1.0,31.0,1,60,4.89,4.96,4.81,4.99,5.0,4.92,4.83,False,79106915
13644911,"Apt. Downtown, historic triangle, Acropolis view",ΚΕΡΑΜΕΙΚΟΣ,37.98014,23.72121,Entire rental unit,Entire home/apt,2,1.0,1.0,50.0,2,1125,4.92,4.92,4.89,5.0,5.0,4.76,4.92,False,71512631
13647651,Unusual 210m2 at the Picturesque Old Center-Athens,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.99056,23.73104,Private room in rental unit,Private room,4,2.0,4.0,30.0,1,1,4.41,4.41,4.59,4.68,4.59,4.73,4.5,False,79221689
13654121,Artistic apartment,ΚΟΛΩΝΑΚΙ,37.97869,23.73853,Entire rental unit,Entire home/apt,4,1.0,2.0,55.0,2,30,4.71,4.83,4.56,4.88,4.98,4.94,4.65,False,79298897
13667554,"NEW!!Acropolis view..Athens 360""..2min from Metro!",ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97724,23.72501,Entire rental unit,Entire home/apt,3,1.0,2.0,80.0,1,1125,4.57,4.7,4.34,4.89,4.86,4.92,4.75,True,79469017
13673148,Modern hideaway,ΑΜΠΕΛΟΚΗΠΟΙ,37.98949,23.75918,Entire rental unit,Entire home/apt,4,1.0,1.0,28.0,1,1125,4.58,4.75,4.42,4.83,4.08,4.83,4.42,False,32419329
13683074,Cosy and luminous studio in the center of Athens,ΚΥΨΕΛΗ,37.99878,23.73945,Entire rental unit,Entire home/apt,2,1.0,1.0,25.0,2,1125,4.94,5.0,5.0,4.97,4.97,4.62,4.91,False,79665624
13684287,Cozy&Luxury 6th floor+city center+30m2+sun terrace,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98297,23.73872,Entire rental unit,Entire home/apt,2,1.0,1.0,25.0,1,1125,4.66,4.82,4.72,4.87,4.85,4.76,4.74,False,79688066
13685061,Private room w/ Acropolis view @Athens Center,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98475,23.71678,Private room in rental unit,Private room,2,1.0,1.0,15.0,2,60,4.63,4.88,4.44,4.97,4.91,4.63,4.81,False,77478008
13703127,2 Bedroom Apartment with parking near Acropolis,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96051,23.7203,Entire rental unit,Entire home/apt,4,2.0,2.0,40.0,1,1125,4.85,4.94,4.82,4.91,4.94,4.73,4.85,True,79957241
13712218,Renovated nest in the heart of city,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99462,23.72868,Entire rental unit,Entire home/apt,4,2.0,2.0,30.0,5,1125,4.72,4.83,4.72,4.86,4.93,4.07,4.86,False,80079186
13717754,Charming apartment in Central Athens Kolonaki,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97993,23.73612,Entire rental unit,Entire home/apt,4,1.0,2.0,37.0,1,90,4.96,4.97,4.98,4.98,4.98,4.91,4.88,True,58570467
