id,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,host_id
52459428,Stunning 4-BR house *HEATED POOL*,78731,30.32099,-97.751923,Entire residential home,Entire home/apt,10,4.0,3.0,1470.0,4,365,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,9585103
52459588,Spectacular high end condo in the heart of Rainey,78701,30.2611,-97.73822,Entire rental unit,Entire home/apt,8,2.0,3.0,542.0,2,365,4.27,4.45,4.36,4.27,4.09,5.0,4.73,True,424230514
52467840,Josh's room,78702,30.25395,-97.71512,Private room in residential home,Private room,1,1.0,1.0,279.0,1,1125,4.83,4.83,4.33,5.0,5.0,5.0,4.83,False,243011371
52470216,Modern Luxury 4 Bedroom with New 8 Person Hot Tub,78758,30.38565,-97.69098,Entire residential home,Entire home/apt,10,4.0,4.0,485.0,2,1125,4.83,4.83,4.5,4.83,5.0,4.83,4.83,True,118694365
52471960,Beautifully Remodeled Home 10 Mins. From Downtown,78744,30.19538,-97.72937,Entire residential home,Entire home/apt,6,3.0,3.0,246.0,3,1125,4.92,5.0,5.0,4.92,5.0,4.69,5.0,False,323358208
52472426,GracyFarms Austin!PRIVATE ROOM Relax & Peaceful !,78758,30.40544,-97.71503,Private room in rental unit,Private room,2,1.0,1.0,69.0,1,30,4.79,4.79,4.84,5.0,5.0,4.84,4.84,True,383788083
52472621,"Modern 3-bedroom home, 5 minutes from downtown!",78702,30.26886,-97.72188,Entire residential home,Entire home/apt,6,3.0,3.0,1000.0,3,10,,,,,,,,True,14892537
52473221,512 Shades of Pink,78704,30.24389,-97.77184,Entire condominium (condo),Entire home/apt,5,2.0,3.0,124.0,1,1125,4.96,5.0,4.96,5.0,4.96,5.0,4.96,True,293514902
52474599,SXSW AVAILABLE! Luxurious Zilker retreat.,78704,30.2541,-97.77006,Entire residential home,Entire home/apt,3,2.0,2.0,1000.0,2,15,,,,,,,,False,89877715
52474672,Pink Palace South Austin Dream Townhome!,78704,30.22633,-97.7548,Entire townhouse,Entire home/apt,6,1.0,4.0,349.0,2,28,4.8,4.8,4.8,4.92,4.88,4.84,4.88,True,92644972
52474963,"Modern, new home close to downtown and airport",78741,30.23381,-97.69288,Private room in residential home,Private room,4,2.0,1.0,300.0,1,20,4.5,4.0,3.0,5.0,5.0,4.5,4.5,False,353996154
52475321,Mueller area comfy and accessible townhome,78723,30.28714,-97.70039,Entire townhouse,Entire home/apt,6,3.0,3.0,235.0,3,7,4.88,5.0,4.63,5.0,5.0,5.0,4.88,False,19526051
52475951,Modern 4BR Home ★10min to Downtown★AustinFC★Domain,78753,30.35702,-97.69135,Entire residential home,Entire home/apt,8,4.0,5.0,311.0,2,1125,4.67,5.0,4.67,5.0,5.0,4.33,5.0,False,385429121
52476053,NEW! Jewell House - Amazing Bouldin Creek Location,78704,30.24929,-97.75647,Entire residential home,Entire home/apt,6,3.0,5.0,875.0,3,60,5.0,5.0,5.0,5.0,5.0,5.0,4.93,False,2590347
52485087,Cheerful Hyde Park 1 Bedroom Austin Villa-Winery,78705,30.29832,-97.73206,Entire villa,Entire home/apt,2,1.0,1.0,185.0,3,27,4.67,4.67,3.67,4.67,5.0,5.0,4.67,False,127334731
52485356,"Small back unit near DT, airpt, ACL",78721,30.27005,-97.68403,Entire guesthouse,Entire home/apt,4,2.0,2.0,195.0,2,365,4.7,4.74,4.78,4.74,4.81,4.48,4.7,True,410540510
52486400,Urban Oasis near South Congress!,78704,30.24154,-97.74856,Entire bungalow,Entire home/apt,4,2.0,3.0,700.0,5,21,4.67,4.67,4.0,5.0,4.67,5.0,4.67,True,22414321
52488764,Sunny Backyard Carriage House Apt in Hyde Park,78751,30.30143,-97.73053,Entire guesthouse,Entire home/apt,2,,1.0,193.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,9860997
52489525,Vintage Truck Glamper in SxSouth Austin TX,78745,30.21035,-97.77075,Entire guesthouse,Entire home/apt,2,1.0,1.0,69.0,2,7,5.0,5.0,4.91,4.82,4.82,5.0,5.0,False,1568741
52489699,A Rejuvenation & Relaxation Homestead,78737,30.21411,-97.98375,Entire residential home,Entire home/apt,4,2.0,1.0,182.0,2,30,,,,,,,,True,424861957
52489932,Groovy Big Condo 5 minutes from Zilker,78704,30.24992,-97.7671,Entire condominium (condo),Entire home/apt,3,1.0,1.0,756.0,2,30,5.0,5.0,4.5,5.0,5.0,5.0,5.0,False,5821060
52491022,Entire Home Away from Home in South Austin w patio,78748,30.18069,-97.81557,Entire residential home,Entire home/apt,8,3.0,3.0,350.0,2,365,5.0,5.0,5.0,5.0,5.0,4.93,5.0,False,15047871
52492910,CampEZ-6 in SxSouthAustinTX,78745,30.20846,-97.77094,Campsite,Entire home/apt,16,,1.0,18.0,2,7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1568741
52494410,WALK TO ACL FEST with Hilltop Privacy,78746,30.2806,-97.78572,Entire residential home,Entire home/apt,8,4.0,4.0,1000.0,4,60,3.0,4.0,3.0,5.0,5.0,5.0,2.0,False,37678469
52494443,SOCO House *BEST LOCATION*,78704,30.25125,-97.7502,Entire bungalow,Entire home/apt,4,2.0,2.0,690.0,30,365,,,,,,,,True,817049
52494627,Private master bedroom with mini fridge,78741,30.23761,-97.71809,Private room in rental unit,Private room,2,1.0,1.0,150.0,1,10,,,,,,,,False,424898593
52494731,Cool Eastside Bungalow - Bike to everything!,78702,30.27366,-97.7082,Entire bungalow,Entire home/apt,4,1.0,2.0,799.0,2,30,5.0,5.0,5.0,5.0,5.0,4.56,4.67,False,5050375
52494839,Hotel Standard Living. Downtown is a 5 min drive.,78741,30.22651,-97.74269,Entire condominium (condo),Entire home/apt,5,2.0,2.0,115.0,30,365,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,424900334
52495941,New DT Luxury Home-Min Walk to 6th St&UT/Fast WIFI,78702,30.27275,-97.72954,Entire residential home,Entire home/apt,12,4.0,8.0,479.0,2,90,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,341154853
52496647,"Airy East Downtown Vacay, King Bed, Sleeps 8, Fast WiFi | 3BR",78702,30.2687,-97.72114,Entire condominium (condo),Entire home/apt,8,3.0,4.0,372.0,1,1125,4.92,4.97,4.97,4.89,4.97,4.92,4.92,True,35817561
52498013,S. Austin Gem Minutes to Zilker & Barton Springs,78704,30.2472,-97.77755,Entire residential home,Entire home/apt,6,3.0,3.0,225.0,30,62,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,13123467
52499032,Riverside shore,78741,30.22046,-97.69851,Private room in townhouse,Private room,3,1.0,3.0,133.0,1,365,3.75,4.0,4.25,3.75,3.25,3.75,3.5,False,318605045
52499227,Trendy East Austin Cottage w/ Convenient Location,78721,30.27032,-97.68614,Entire residential home,Entire home/apt,6,3.0,3.0,105.0,30,365,,,,,,,,True,267686048
52502687,Cozy & Stylish Zilker Bungalow Right by Downtown,78704,30.25521,-97.77203,Entire bungalow,Entire home/apt,3,1.0,1.0,398.0,2,365,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,46331042
52503605,Cheerful 2 bedroom Residential Home with Patio,78728,30.44941,-97.66906,Entire residential home,Entire home/apt,8,2.0,3.0,155.0,2,365,5.0,5.0,5.0,4.5,5.0,4.0,4.5,False,424963615
52503756,"Modern House near Downtown, COTA & Airport!",78741,30.24181,-97.69214,Entire residential home,Entire home/apt,8,2.0,6.0,385.0,3,27,4.93,5.0,4.86,5.0,5.0,4.93,4.93,False,347525692
52507823,#1 Austin Hill Country Cottages. Quiet and Cosy,78737,30.21273,-97.98332,Entire guesthouse,Entire home/apt,4,1.0,2.0,136.0,2,1125,5.0,4.9,5.0,5.0,5.0,4.9,5.0,False,76672218
